,Country (2019),Transactions(down)/Commodity(right),Primary Coal and Peat,Coal and Peat Products,Primary Oil,Oil Products,Natural Gas,Biofuels and Waste,Nuclear,Electricity,Heat,Total Energy,memo: Of which Renewables,All Coal,All Oil,All Inputs
0,Samoa,Primary production,0,0,0,0,0,1464,0,265,3,1732,1732,0,0,1467
1,Samoa,Imports,0,0,0,4813,0,0,0,0,0,4814,0,0,4813,4813
2,Samoa,Exports,0,0,0,-42,0,0,0,0,0,-42,0,0,-42,-42
3,Samoa,International marine bunkers,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Samoa,International aviation bunkers,0,0,0,-532,0,0,0,0,0,-532,0,0,-532,-532
5,Samoa,Stock changes,0,0,0,-275,0,0,0,0,0,-275,0,0,-275,-275
6,Samoa,Total energy supply,0,0,0,3965,0,1464,0,265,3,5697,1732,0,3965,5432
7,Samoa,Statistical differences,0,0,0,-2,0,0,0,0,0,-2,265,0,-2,-2
8,Samoa,Transfers and recycled products,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Samoa,Transformation,0,0,0,-903,0,-14,0,344,0,-573,-14,0,-903,-917
10,Samoa,Electricity  CHP & Heat Plants,0,0,0,-903,0,0,0,344,0,-559,0,0,-903,-903
11,Samoa,Electricity Plants,0,0,0,-903,0,0,0,344,0,-559,0,0,-903,-903
12,Samoa,CHP plants,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Samoa,Heat plants,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Samoa,Coke ovens,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Samoa,Briquetting plants,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Samoa,Liquefaction plants,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Samoa,Gas works,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Samoa,Blast furnaces,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Samoa,NGL & gas blending,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Samoa,Oil refineries,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Samoa,Other transformation,0,0,0,0,0,-14,0,0,0,-14,-14,0,0,-14
22,Samoa,Energy industries own use,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0
23,Samoa,Losses,0,0,0,0,0,0,0,-62,0,-62,0,0,0,0
24,Samoa,Final consumption,0,0,0,3064,0,1450,0,546,3,5063,1453,0,3064,4517
25,Samoa,Final Energy Consumption,0,0,0,2943,0,1450,0,546,3,4942,1453,0,2943,4396
26,Samoa,Manufacturing  const. and mining,0,0,0,301,0,0,0,35,0,336,0,0,301,301
27,Samoa,Iron and steel,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Samoa,Chemical and petrochemical,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Samoa,Non-ferrous metals,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Samoa,Non-metallic minerals,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Samoa,Transport equipment,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Samoa,Machinery,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Samoa,Mining and quarrying,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Samoa,Food and tobacco,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Samoa,Paper  pulp and printing,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Samoa,Wood and wood products,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Samoa,Textile and leather,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Samoa,Construction,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Samoa,Industry n.e.s,0,0,0,301,0,0,0,35,0,336,0,0,301,301
40,Samoa,Transport,0,0,0,2275,0,0,0,0,0,2275,0,0,2275,2275
41,Samoa,Road,0,0,0,1931,0,0,0,0,0,1931,0,0,1931,1931
42,Samoa,Rail,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Samoa,Domestic aviation,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Samoa,Domestic navigation,0,0,0,344,0,0,0,0,0,344,0,0,344,344
45,Samoa,Pipeline transport,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Samoa,Transport n.e.s,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Samoa,Other Consumption,0,0,0,367,0,1450,0,512,3,2332,1453,0,367,1820
48,Samoa,Agriculture  forestry and fishing,0,0,0,44,0,5,0,0,0,49,5,0,44,49
49,Samoa,Commerce and public services,0,0,0,178,0,0,0,354,3,535,3,0,178,181
50,Samoa,Households,0,0,0,145,0,1445,0,157,0,1747,1445,0,145,1590
51,Samoa,Other consumption n.e.s,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Samoa,Non-energy use,0,0,0,121,0,0,0,0,0,121,0,0,121,121
53,Nauru,Primary production,0,0,0,0,0,0,0,4,0,4,4,0,0,0
54,Nauru,Imports,0,0,0,1059,0,0,0,0,0,1059,0,0,1059,1059
55,Nauru,Exports,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,Nauru,International marine bunkers,0,0,0,-162,0,0,0,0,0,-162,0,0,-162,-162
57,Nauru,International aviation bunkers,0,0,0,-164,0,0,0,0,0,-164,0,0,-164,-164
58,Nauru,Stock changes,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Nauru,Total energy supply,0,0,0,734,0,0,0,4,0,737,4,0,734,734
60,Nauru,Statistical differences,0,0,0,-6,0,0,0,0,0,-6,4,0,-6,-6
61,Nauru,Transfers and recycled products,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,Nauru,Transformation,0,0,0,-343,0,0,0,130,0,-213,0,0,-343,-343
63,Nauru,Electricity  CHP & Heat Plants,0,0,0,-343,0,0,0,130,0,-213,0,0,-343,-343
64,Nauru,Electricity Plants,0,0,0,-343,0,0,0,130,0,-213,0,0,-343,-343
65,Nauru,CHP plants,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Nauru,Heat plants,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Nauru,Coke ovens,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,Nauru,Briquetting plants,0,0,0,0,0,0,0,0,0,0,0,0,0,0
